match_id,league_code,league_name,round_name,match_date,match_time,home_team,away_team,actual_score,actual_result,page_id,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_最终_主,胜平负_最终_平,胜平负_最终_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_最终_主,欧赔_最终_平,欧赔_最终_客,亚值_初始_主水,亚值_初始_盘口,亚值_初始_盘口值,亚值_初始_客水,亚值_最终_主水,亚值_最终_盘口,亚值_最终_盘口值,亚值_最终_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_最终_主,凯利_最终_平,凯利_最终_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_最终_主,离散率_最终_平,离散率_最终_客
2026-04-18_朗斯_图卢兹,ligue_1,法甲,第30轮,2026-04-18,02:45,朗斯,图卢兹,3:2,主胜,1205878,1.32,4.55,6.6,1.41,4.1,5.7,1.49,4.45,6.17,1.59,4.03,5.21,0.976,-0.956,-0.956,0.864,0.932,-1.088,-1.088,0.938,0.95,0.94,0.94,1.01,0.85,0.8,10.19,11.73,63.86,13.45,8.06,78.74
2026-04-18_洛里昂_马赛,ligue_1,法甲,第30轮,2026-04-18,23:00,洛里昂,马赛,2:0,主胜,1205791,4.65,4.05,1.5,4.15,3.75,1.61,4.66,4.26,1.65,3.82,3.68,1.87,0.932,0.544,0.544,0.905,0.901,0.868,0.868,0.947,0.95,0.95,0.94,0.78,0.82,1.07,20.89,20.43,12.12,19.94,9.44,16.56
2026-04-19_昂热_勒阿弗尔,ligue_1,法甲,第30轮,2026-04-19,01:00,昂热,勒阿弗尔,2:1,主胜,1205761,1.99,3.1,3.3,1.89,3.1,3.6,2.3,3.21,3.24,2.11,3.16,3.58,0.853,-0.275,-0.275,0.957,0.946,-0.275,-0.275,0.874,0.95,0.95,0.95,0.87,0.93,1.05,37.88,6.14,63.55,7.88,5.49,18.86
2026-04-19_里尔_尼斯,ligue_1,法甲,第30轮,2026-04-19,03:05,里尔,尼斯,0:0,平局,1205799,1.35,4.35,6.3,1.45,4.0,5.3,1.5,4.45,6.04,1.6,3.92,5.29,0.889,-0.853,-0.853,0.945,1.03,-1.191,-1.191,0.848,0.94,0.95,0.95,1.01,0.84,0.83,7.96,18.53,20.98,12.2,9.05,28.75
2026-04-19_摩纳哥_欧塞尔,ligue_1,法甲,第30轮,2026-04-19,21:00,摩纳哥,欧塞尔,2:2,平局,1205800,1.62,4.0,4.8,1.62,3.9,4.8,1.58,4.27,5.35,1.57,4.12,5.25,0.888,-0.912,-0.912,0.955,1.021,-1.015,-1.015,0.835,0.95,0.95,0.95,0.95,0.92,0.93,6.59,13.29,45.82,8.49,10.63,39.65
2026-04-19_斯特拉斯堡_雷恩,ligue_1,法甲,第30轮,2026-04-19,23:15,斯特拉斯堡,雷恩,4:1,主胜,1205832,2.55,3.35,2.28,2.04,3.4,2.9,2.62,3.45,2.57,2.07,3.49,3.35,0.877,-0.290,-0.29,0.945,0.991,-0.065,-0.065,0.852,0.94,0.94,0.94,0.75,0.96,1.23,25.61,8.08,25.86,8.48,16.53,100.98
2026-04-19_梅斯_巴黎FC,ligue_1,法甲,第30轮,2026-04-19,23:15,梅斯,巴黎FC,3:2,主胜,1205847,1.6,3.6,4.42,1.7,3.4,4.05,1.76,3.74,4.56,1.92,3.43,3.9,0.914,-0.500,-0.5,0.873,0.89,-0.618,-0.618,0.918,0.95,0.95,0.95,1.03,0.87,0.81,10.93,14.01,24.11,8.93,12.07,9.39
2026-04-19_南特_布雷斯特,ligue_1,法甲,第30轮,2026-04-19,23:15,南特,布雷斯特,1:1,平局,1205840,2.38,3.1,2.9,2.38,3.1,3.0,2.41,3.21,3.02,2.36,3.23,2.98,1.008,-0.221,-0.221,0.818,1.037,-0.250,-0.25,0.825,0.92,0.95,0.97,0.91,0.95,0.96,5.72,5.03,11.42,5.46,6.96,10.69
2026-04-20_巴黎圣日耳曼_里昂,ligue_1,法甲,第30轮,2026-04-20,02:45,巴黎圣日耳曼,里昂,1:2,客胜,1205635,1.17,5.9,9.5,1.21,5.4,8.5,1.32,5.55,8.3,1.3,5.62,8.49,0.859,-1.531,-1.531,0.971,0.918,-1.516,-1.516,0.921,0.95,0.92,0.93,0.94,0.93,0.95,6.54,18.77,41.72,3.77,16.93,39.82
