match_id,match_date,match_time,home_team,away_team,page_id,captured_at,胜平负_初始_主,胜平负_初始_平,胜平负_初始_客,胜平负_即时_主,胜平负_即时_平,胜平负_即时_客,欧赔_初始_主,欧赔_初始_平,欧赔_初始_客,欧赔_即时_主,欧赔_即时_平,欧赔_即时_客,亚值_初始_主水,亚值_初始_盘口值,亚值_初始_客水,亚值_即时_主水,亚值_即时_盘口值,亚值_即时_客水,凯利_初始_主,凯利_初始_平,凯利_初始_客,凯利_即时_主,凯利_即时_平,凯利_即时_客,离散率_初始_主,离散率_初始_平,离散率_初始_客,离散率_即时_主,离散率_即时_平,离散率_即时_客
2026-04-23_巴黎圣日耳曼_南特,2026-04-23,01:00,巴黎圣日耳曼,南特,1205722,2026-04-20 16:45:25,1.2,7.0,12.0,1.17,7.0,13.0,1.19,7.24,12.06,1.19,7.15,12.24,0.869,-1.933,0.968,0.871,-2.033,0.959,0.94,0.94,0.94,0.94,0.93,0.96,2.31,31.1,75.72,17.43,146.98,279.21
2026-04-25_布雷斯特_朗斯,2026-04-25,02:45,布雷斯特,朗斯,1205637,2026-04-20 16:45:25,4.2,3.8,1.75,4.33,3.75,1.7,4.23,3.87,1.76,4.25,3.83,1.75,0.901,0.688,0.929,0.864,0.729,0.965,0.94,0.94,0.94,0.94,0.93,0.94,16.96,8.71,2.65,23.12,8.16,5.11
2026-04-25_里昂_欧塞尔,2026-04-25,21:00,里昂,欧塞尔,1205640,2026-04-20 16:45:25,1.67,3.75,4.8,1.73,3.5,4.6,1.67,3.77,4.96,1.72,3.67,4.72,0.926,-0.712,0.912,0.874,-0.769,0.951,0.94,0.94,0.94,0.96,0.91,0.89,3.85,9.23,17.08,6.49,6.61,23.01
2026-04-26_昂热_巴黎圣日耳曼,2026-04-26,01:00,昂热,巴黎圣日耳曼,1205636,2026-04-20 16:45:25,10.0,6.0,1.25,10.0,6.5,1.2,10.85,6.16,1.24,11.13,6.29,1.23,0.955,1.795,0.861,0.905,1.773,0.907,0.94,0.94,0.94,0.97,0.96,0.93,49.96,13.96,2.12,57.82,35.63,2.12
2026-04-26_图卢兹_摩纳哥,2026-04-26,03:05,图卢兹,摩纳哥,1205737,2026-04-20 16:45:25,3.1,3.5,2.1,2.9,3.3,2.3,3.14,3.54,2.15,2.96,3.47,2.26,0.839,0.25,0.996,0.943,0.271,0.89,0.94,0.94,0.94,0.88,0.92,0.99,11.44,9.5,7.19,11.8,9.4,10.82
2026-04-26_洛里昂_斯特拉斯堡,2026-04-26,21:00,洛里昂,斯特拉斯堡,1205639,2026-04-20 16:45:25,2.45,3.4,2.63,3.0,3.3,2.25,2.49,3.44,2.67,2.95,3.42,2.29,0.848,0.25,0.973,0.86,0.019,0.998,0.94,0.94,0.94,1.11,0.93,0.8,16.67,6.43,16.88,44.07,7.95,18.47
2026-04-26_雷恩_南特,2026-04-26,23:15,雷恩,南特,1205858,2026-04-20 16:45:25,1.44,4.4,6.5,1.44,4.2,6.0,1.45,4.56,6.46,1.46,4.45,6.4,0.958,-1.229,0.848,0.957,-1.229,0.86,0.94,0.94,0.94,0.94,0.92,0.93,3.5,11.64,37.67,6.74,17.7,87.37
2026-04-26_勒阿弗尔_梅斯,2026-04-26,23:15,勒阿弗尔,梅斯,1205638,2026-04-20 16:45:25,1.75,3.6,4.2,1.91,3.25,4.0,1.8,3.58,4.3,1.91,3.45,3.93,0.934,-0.518,0.889,0.916,-0.625,0.917,0.94,0.94,0.94,0.99,0.9,0.86,7.37,9.94,28.55,3.76,6.2,13.37
2026-04-26_巴黎FC_里尔,2026-04-26,23:15,巴黎FC,里尔,1205642,2026-04-20 16:45:25,3.5,3.5,1.95,3.4,3.3,2.05,3.54,3.48,2.02,3.53,3.46,2.02,0.852,0.458,0.985,0.846,0.479,0.998,0.94,0.94,0.94,0.94,0.93,0.94,10.83,8.94,2.89,9.89,8.06,3.68
2026-04-27_马赛_尼斯,2026-04-27,02:45,马赛,尼斯,1205641,2026-04-20 16:45:25,1.5,4.5,5.0,1.5,4.4,5.0,1.47,4.69,5.76,1.49,4.56,5.62,0.883,-1.107,0.94,0.966,-1.214,0.866,0.94,0.94,0.94,0.95,0.91,0.92,3.77,11.63,37.04,4.3,10.0,42.86
